,0
0,https://www.tnch.org.tw/activity.php
1,https://www.tnch.org.tw/news.php?cid=2
2,https://arts.ntu.edu.tw/Relational.aspx
3,https://tps.forest.gov.tw/TPSWeb/wSite/lp?ctNode=252&mp=1&idPath=215_219_252&xq_xCat=06&mp=1&idPath=215_219_252
4,https://tps.forest.gov.tw/TPSWeb/wSite/lp?ctNode=252&mp=1&idPath=215_219_252
5,https://tps.forest.gov.tw/TPSWeb/wSite/lp?ctNode=252&mp=1&idPath=&xq_xCat=06&mp=1&idPath=
6,https://tps.forest.gov.tw/TPSWeb/wSite/np?ctNode=252&mp=1
7,http://www.acp-randonneurs-taiwan.org.tw/modules/tadnews/index.php?tag_sn=4
8,http://www.acp-randonneurs-taiwan.org.tw/modules/tadnews/index.php?ncsn=2
9,https://www.animal.taichung.gov.tw/1521461/Lpsimplelist
10,https://nckuorchestra.wordpress.com/category/%e6%b4%bb%e5%8b%95%e5%85%ac%e5%91%8a/
11,https://mbscnn.org/NewsList.aspx?CLASS=202
12,https://mbscnn.org/NewsList.aspx?CLASS=413
13,https://hiking.biji.co/index.php?q=news&label=4
14,"https://www.library.taichung.gov.tw/public/activity/index.asp?Parser=10,20,541,50"
15,"https://www.library.taichung.gov.tw/public/registration/index.asp?Parser=99,20,213,466,212"
16,https://hotline.org.tw/events/old
17,https://www.ntso.gov.tw/activitysoons?uid=201&ispay=1
18,https://www.ntso.gov.tw/activitysoonlist?uid=20
19,https://www.hfec.org.tw/events
20,https://bitheway.pixnet.net/blog/category/1169772
21,https://bitheway.pixnet.net/blog/category/1167792
22,https://bitheway.pixnet.net/blog
23,https://npost.tw/archives/category/activities
24,https://npost.tw/archives/category/%e8%bf%91%e6%9c%9f%e6%b4%bb%e5%8b%95
25,https://www.ntmofa.gov.tw/activitysoonlist_1052.html
26,https://www.ntmofa.gov.tw/links_1208.html
27,https://www.ttcsec.gov.tw/activitysoonlist?uid=579
28,https://www.ttcsec.gov.tw/activitysoonlist?uid=970
29,https://www.ttcsec.gov.tw/activityhistorylist?uid=580
30,https://www.sow.org.tw/event/search?title=&suo_shu_fen_hui_37=All&event_type=All&is_monetary=All
31,http://culture-tourism.hualien.gov.tw/lecture.php?type=2
32,http://culture-tourism.hualien.gov.tw/lecture.php?action=init&type=2
33,https://artemperor.tw/tidbits
34,https://www.nspo.narl.org.tw/activity_list.php?c=A2001160002&ln=zh_TW
35,https://mixdance2001.pixnet.net/blog
36,https://10years.tw/blog.html
37,"https://www.library.taichung.gov.tw/public/gallery/index.asp?Parser=99,20,574"
38,"https://www.library.taichung.gov.tw/public/activity/index.asp?Parser=10,20,541,50"
39,"https://www.library.taichung.gov.tw/public/registration/index.asp?Parser=99,20,213,466,212"
40,https://www.ntso.gov.tw/activitysoonlist?uid=204
41,"https://www.library.taichung.gov.tw/public/gallery/index.asp?Parser=99,20,574"
42,http://www.hakkatv.org.tw/activity
43,http://tw-toylibrary.org/new/event.php
44,https://oceantreeyoga.pixnet.net/blog
45,https://www.youthhub.tw/event-sign
46,https://vvg.com.tw/news
47,https://www.ankecare.com/category/%e6%b4%bb%e5%8b%95
48,https://www.ankecare.com/category/%e6%b4%bb%e5%8b%95%e8%b3%87%e8%a8%8a/%e5%8d%97%e9%83%a8%e6%b4%bb%e5%8b%95
49,https://www.chcsec.gov.tw/activitysoonlist?uid=134
50,https://www.chcsec.gov.tw/activitysoonlist?uid=138
51,https://www.chcsec.gov.tw/activitysoonhislist?uid=135
52,https://www.chcsec.gov.tw/informationlist?uid=176
